task_count,avg_runtime_sec,cumulative_avg_runtime_sec,num_instances
7,4.756559937959537e-05,4.756559937959537e-05,40
8,5.678649540641345e-05,0.00010435209478600881,8
9,6.390044695257934e-05,0.00016825254173858815,36
11,7.309903175513627e-05,0.0002413515734937244,66
21,0.00013254173834519904,0.0003738933118389234,42
25,0.00017303771580502923,0.0005469310276439526,42
28,0.00016634472861672597,0.0007132757562606786,48
29,0.0002232038729874018,0.0009364796292480804,56
30,0.0002404287370154634,0.0011769083662635437,72
32,0.00026887410058407113,0.0014457824668476149,48
35,0.00029500591283847043,0.0017407883796860854,56
45,0.0003114781524345744,0.0020522665321206597,80
53,0.00035035407490795477,0.0024026206070286143,40
58,0.0010133301400401251,0.0034159507470687394,128
70,0.0008381558841392689,0.004254106631208008,128
75,0.0019903027288516264,0.006244409360059634,192
83,0.0010664130313671194,0.007310822391426754,128
89,0.0014038552201051544,0.008714677611531909,173
94,0.0011980600978019468,0.009912737709333855,104
111,0.001845877146372325,0.01175861485570618,136
148,0.0031469388684074928,0.014905553724113674,280
297,0.007809272398355041,0.022714826122468716,208
