task_count,avg_runtime_sec,num_instances
7,0.00037691549805458636,40
8,0.0004839743814955,8
9,0.0005548575831603052,36
11,0.0006163194709436291,66
21,0.001218640855984718,42
25,0.0016358125500292296,42
28,0.001612455646560799,48
29,0.002178625857465834,56
30,0.002267031820439216,72
32,0.002646638084722023,48
35,0.0028761100703767234,56
45,0.0029029150733549613,80
53,0.003369869804009795,40
58,0.009584017936958844,128
70,0.00824747564070094,128
75,0.019470363281167618,192
83,0.009680008156010445,128
89,0.013632650999385982,173
94,0.011874263229961239,104
111,0.018355090080791236,136
148,0.03093639956485796,280
297,0.07848091482698621,208
